Carimbo de data/hora,Avalie os estilos musicais [rock],Avalie os estilos musicais [rap],Avalie os estilos musicais [mpb],Avalie os estilos musicais [reggae],Avalie os estilos musicais [funk],Avalie os estilos musicais [sertanejo],Avalie os estilos musicais [gospel],Avalie os estilos musicais [eletrônica],Qual professor,Qual sua faixa etária,Avalie os estilos musicais [samba],Avalie os estilos musicais [forró],Avalie os estilos musicais [trap],Digite uma palavra-chave do seu curso que pode ser incluída na música gerada por inteligência artificial?
21/08/2024 10:03:25,3,1,1,1,1,1,1,3,,,,,,
21/08/2024 10:04:39,5,3,5,2,1,3,1,5,,,,,,
21/08/2024 10:04:52,1,5,1,1,1,1,1,5,,,,,,
21/08/2024 10:04:53,1,5,4,4,4,1,1,5,,,,,,
21/08/2024 10:04:55,5,4,3,4,1,1,2,5,,,,,,
21/08/2024 10:05:26,5,2,2,2,1,1,2,4,,,,,,
21/08/2024 10:05:41,2,4,4,1,4,4,1,3,,,,,,
21/08/2024 10:06:14,5,3,3,3,1,2,3,4,,,,,,
21/08/2024 10:07:16,4,4,4,1,4,4,1,4,,,,,,
21/08/2024 10:07:26,5,5,1,3,4,1,1,3,,,,,,
21/08/2024 10:07:31,3,2,5,4,3,4,4,2,,,,,,
21/08/2024 10:08:37,4,1,5,1,1,2,5,1,,,,,,
21/08/2024 10:38:46,5,1,3,1,1,1,1,4,,,,,,
21/08/2024 10:58:52,5,5,1,1,1,1,1,4,,,,,,
21/08/2024 14:58:43,5,4,4,3,3,3,2,5,,,,,,
21/08/2024 14:59:12,4,5,3,4,1,2,4,5,,,,,,
21/08/2024 14:59:39,5,4,1,2,4,1,1,4,,,,,,
21/08/2024 14:59:58,1,2,3,1,2,3,4,4,,,,,,
21/08/2024 15:00:08,4,2,4,3,1,2,3,3,,,,,,
21/08/2024 15:00:16,1,5,4,4,5,3,3,5,,,,,,
21/08/2024 15:00:27,3,5,1,1,1,1,1,1,,,,,,
21/08/2024 15:00:38,4,1,4,1,1,3,5,1,,,,,,
21/08/2024 15:01:03,4,1,4,1,1,2,1,1,,,,,,
21/08/2024 15:01:09,3,3,4,3,2,3,2,3,,,,,,
21/08/2024 15:01:36,3,3,4,3,1,1,5,5,,,,,,
21/08/2024 15:01:55,5,4,5,1,1,3,2,1,,,,,,
21/08/2024 15:02:10,3,3,4,3,1,1,5,5,,,,,,
21/08/2024 15:02:13,5,5,4,5,2,2,4,5,,,,,,
21/08/2024 15:02:16,5,4,5,2,1,3,4,4,,,,,,
21/08/2024 15:02:18,2,1,3,1,2,5,3,1,,,,,,
21/08/2024 15:03:08,5,5,5,5,5,5,5,5,,,,,,
21/08/2024 15:03:40,5,5,5,5,5,5,5,5,,,,,,
21/08/2024 15:05:02,4,1,4,1,1,3,5,1,,,,,,
21/08/2024 15:05:13,3,1,4,2,1,4,4,1,,,,,,
21/08/2024 15:06:35,5,5,2,5,1,3,4,1,,,,,,
21/08/2024 15:06:40,3,1,5,1,2,5,1,2,,,,,,
21/08/2024 15:09:30,1,4,3,2,1,3,2,2,,,,,,
21/08/2024 20:00:02,4,1,4,3,1,2,3,3,,,,,,
22/08/2024 09:40:47,3,1,1,1,3,1,1,3,Karython,15 - 18,,,,
22/08/2024 09:40:54,1,1,5,1,5,5,1,5,Karython,15 - 18,,,,
22/08/2024 09:41:06,3,4,3,2,2,1,2,4,Karython,15 - 18,,,,
22/08/2024 09:41:10,4,3,4,2,1,2,3,2,Karython,15 - 18,,,,
22/08/2024 09:41:11,5,5,5,5,1,5,5,5,Karython,15 - 18,,,,
22/08/2024 09:41:14,3,5,1,5,5,3,1,5,Karython,15 - 18,,,,
22/08/2024 09:41:21,1,3,4,1,5,5,3,4,Karython,15 - 18,,,,
22/08/2024 09:41:23,4,4,4,4,4,2,3,2,Karython,15 - 18,,,,
22/08/2024 09:41:24,5,5,3,5,3,1,3,4,Karython,15 - 18,,,,
22/08/2024 09:41:26,5,5,5,5,3,2,1,4,Karython,15 - 18,,,,
22/08/2024 09:41:31,1,1,1,1,5,5,5,1,Karython,15 - 18,,,,
22/08/2024 09:41:32,1,5,4,3,4,2,3,1,Karython,15 - 18,,,,
22/08/2024 09:41:37,1,1,2,1,1,1,1,4,Karython,15 - 18,,,,
22/08/2024 09:41:39,1,3,3,4,5,5,1,4,Karython,15 - 18,,,,
22/08/2024 09:41:43,2,4,4,4,3,3,2,1,Karython,15 - 18,,,,
22/08/2024 09:41:46,2,5,3,3,5,5,4,5,Karython,15 - 18,,,,
22/08/2024 09:41:56,5,3,5,5,4,3,2,4,Karython,15 - 18,,,,
22/08/2024 09:41:58,4,3,3,2,1,1,1,4,Karython,15 - 18,,,,
22/08/2024 09:41:58,5,3,4,2,2,4,4,3,Karython,15 - 18,,,,
22/08/2024 09:42:17,5,4,4,3,3,1,4,5,Karython,15 - 18,,,,
22/08/2024 09:42:26,3,3,4,3,3,4,4,5,Karython,15 - 18,,,,
22/08/2024 09:42:42,1,4,1,3,5,5,1,4,Karython,15 - 18,,,,
22/08/2024 09:42:42,5,5,4,3,1,2,5,4,Karython,15 - 18,,,,
22/08/2024 09:42:48,1,1,1,1,4,5,1,4,Karython,15 - 18,,,,
22/08/2024 09:43:04,4,5,5,5,5,5,5,5,Karython,140 - 200,,,,
22/08/2024 09:43:16,5,5,5,5,1,1,1,5,Karython,140 - 200,,,,
22/08/2024 09:43:46,3,3,3,3,2,3,3,3,Karython,15 - 18,,,,
22/08/2024 09:44:26,1,4,1,2,4,4,2,2,Karython,15 - 18,,,,
22/08/2024 09:57:42,1,2,3,3,3,5,2,1,Luciano,18 - 25,,,,
22/08/2024 09:58:20,1,5,5,5,5,3,1,4,Luciano,18 - 25,,,,
22/08/2024 09:58:49,4,2,4,3,2,4,4,4,Luciano,50 - 80,,,,
22/08/2024 09:59:53,3,2,2,4,3,3,2,2,Luciano,18 - 25,,,,
22/08/2024 10:00:24,5,2,1,3,1,1,3,1,Luciano,15 - 18,,,,
22/08/2024 10:00:25,1,1,1,1,1,4,4,1,Luciano,25 - 39,,,,
22/08/2024 10:00:35,2,1,3,1,1,4,4,1,Luciano,40 - 50,,,,
22/08/2024 10:01:00,2,1,4,4,1,2,2,1,Luciano,50 - 80,,,,
22/08/2024 10:01:35,3,4,3,1,2,4,5,4,Luciano,18 - 25,,,,
22/08/2024 10:01:41,1,1,5,2,1,5,2,1,Luciano,40 - 50,,,,
22/08/2024 10:02:12,5,3,4,2,2,3,1,1,Luciano,25 - 39,,,,
22/08/2024 10:29:30,2,4,3,1,4,4,4,2,Victor,18 - 25,,,,
22/08/2024 10:29:31,2,5,2,2,3,5,5,5,Victor,18 - 25,,,,
22/08/2024 10:29:37,4,3,3,3,2,4,3,4,Victor,18 - 25,,,,
22/08/2024 10:29:52,1,1,4,3,3,3,3,1,Victor,25 - 39,,,,
22/08/2024 10:29:56,4,4,1,2,2,1,1,4,Victor,25 - 39,,,,
22/08/2024 10:30:00,5,5,4,3,4,4,2,5,Victor,18 - 25,,,,
22/08/2024 10:30:02,5,3,5,5,2,2,1,1,Victor,50 - 80,,,,
22/08/2024 10:30:07,4,2,1,3,4,1,2,4,Victor,18 - 25,,,,
22/08/2024 10:30:28,4,2,3,3,1,2,2,1,Victor,25 - 39,,,,
22/08/2024 10:31:03,4,1,3,1,1,2,2,2,Victor,40 - 50,,,,
22/08/2024 10:31:04,1,1,1,1,1,4,5,1,Victor,18 - 25,,,,
22/08/2024 10:31:08,4,4,2,2,3,3,1,4,Victor,18 - 25,,,,
22/08/2024 10:31:20,3,3,1,1,4,5,3,5,Victor,18 - 25,,,,
22/08/2024 10:31:40,3,4,2,2,3,4,1,4,Victor,40 - 50,,,,
22/08/2024 10:31:45,1,1,1,1,1,1,1,1,Victor,25 - 39,,,,
22/08/2024 10:38:10,1,1,5,1,1,1,5,1,Victor,25 - 39,,,,
22/08/2024 10:39:06,5,2,4,2,1,4,1,5,Victor,25 - 39,,,,
22/08/2024 10:40:15,5,5,5,5,5,5,5,5,Luciano,50 - 80,,,,
22/08/2024 11:19:48,3,1,5,2,5,5,1,5,Karython,25 - 39,,,,
22/08/2024 15:09:25,4,4,4,4,4,4,3,4,Luciano,25 - 39,,,,
22/08/2024 16:35:33,1,1,1,1,4,4,1,4,Charlerson,15 - 18,4,4,4,Sobre phiton 
22/08/2024 16:35:47,5,4,5,4,2,1,1,3,Damarcones,26 - 39,3,3,1,Java
22/08/2024 16:36:29,5,1,5,3,1,4,1,5,Damarcones,26 - 39,3,3,5,
22/08/2024 16:36:29,2,3,2,1,1,3,3,4,Damarcones,15 - 18,1,3,2,Cascade
22/08/2024 16:36:42,2,1,4,1,4,1,1,2,Charlerson,15 - 18,1,2,2,Programação 
22/08/2024 16:36:51,4,2,4,2,1,1,1,1,Charlerson,15 - 18,3,2,1,Programa 
22/08/2024 16:37:01,3,5,2,1,4,2,3,3,Charlerson,15 - 18,1,3,3,Python
22/08/2024 16:37:01,1,3,1,3,4,4,4,2,Damarcones,19 - 25,4,4,4,SpringBoot
22/08/2024 16:37:07,2,3,2,3,3,5,4,5,Charlerson,15 - 18,4,3,4,Mas eu amo meu curso 
22/08/2024 16:37:30,4,3,1,3,2,4,4,3,Charlerson,15 - 18,3,3,4,Programação 
22/08/2024 16:37:30,4,2,1,1,1,1,3,3,Damarcones,19 - 25,1,1,2,Programação 
22/08/2024 16:37:57,1,5,1,1,4,1,1,1,Damarcones,15 - 18,3,1,5,Spring Boot
22/08/2024 16:38:00,3,1,3,1,1,1,4,4,Damarcones,19 - 25,1,1,2,Bernth - Farewell
22/08/2024 16:38:14,3,3,2,2,2,3,2,3,Mirka,26 - 39,1,2,2,
22/08/2024 16:38:26,3,1,2,2,1,1,1,1,Mirka,40 - 50,2,2,1,Front
22/08/2024 16:38:41,1,4,2,1,5,4,1,1,Charlerson,15 - 18,4,1,4,phyton
22/08/2024 16:38:41,1,4,1,1,1,2,5,3,Mirka,15 - 18,1,1,4,Front-End
22/08/2024 16:38:42,5,1,1,1,1,1,3,3,Damarcones,19 - 25,1,1,2,Web
22/08/2024 16:38:44,5,2,5,1,5,2,1,1,Damarcones,19 - 25,5,3,1,biblioteca
22/08/2024 16:38:45,4,4,3,2,2,2,1,4,Mirka,19 - 25,4,2,3,Front-end
22/08/2024 16:38:58,5,3,2,1,4,3,1,2,Damarcones,19 - 25,4,3,3,Classe
22/08/2024 16:39:03,5,5,5,5,3,5,5,5,Mirka,19 - 25,5,5,5,conhecimento
22/08/2024 16:39:04,5,5,4,3,2,3,1,5,Mirka,26 - 39,2,2,5,VisualG
22/08/2024 16:39:05,5,1,2,4,1,2,3,5,Mirka,51 - 80,1,1,3,FrontEnd
22/08/2024 16:39:07,5,5,5,3,4,2,1,1,Mirka,15 - 18,5,5,5,front-end
22/08/2024 16:39:17,1,3,2,1,3,3,4,2,Mirka,19 - 25,3,3,3,Programação
22/08/2024 16:39:17,4,3,2,2,1,1,3,5,Mirka,15 - 18,1,1,5,Front-End
22/08/2024 16:39:31,1,1,1,1,1,4,1,3,Mirka,26 - 39,1,4,1,HTML
22/08/2024 16:39:56,1,5,1,5,5,5,5,4,Mirka,26 - 39,5,5,5,
22/08/2024 16:39:57,5,2,5,4,1,2,1,5,Mirka,40 - 50,3,2,3,programação
22/08/2024 16:40:26,3,2,1,1,1,2,1,5,Mirka,15 - 18,2,3,1,Front-end
22/08/2024 16:40:56,5,1,1,1,1,1,1,5,Mirka,40 - 50,1,1,1,Front end
22/08/2024 16:42:12,4,5,3,3,1,1,5,5,Alisson,19 - 25,2,2,5,Tecnologia 
22/08/2024 16:42:21,5,2,5,4,1,5,5,5,Alisson,26 - 39,5,5,2,Execel
22/08/2024 16:42:59,5,4,5,5,1,5,5,5,Alisson,40 - 50,5,5,1,Operador de Computador 
22/08/2024 16:43:21,1,1,3,5,5,5,2,5,Alisson,15 - 18,4,4,5,word
22/08/2024 16:43:24,2,5,5,2,4,4,5,5,Alisson,15 - 18,1,4,5,
22/08/2024 16:44:01,2,1,4,1,5,5,5,5,Alisson,15 - 18,2,4,5,
22/08/2024 16:44:06,3,4,5,5,5,5,2,3,Alisson,15 - 18,2,5,5,operador
22/08/2024 16:44:14,3,5,1,1,5,2,1,3,Alisson,15 - 18,3,2,5,digitação
22/08/2024 16:44:25,5,3,5,3,3,3,3,5,Alisson,40 - 50,4,4,3,Cloud
22/08/2024 16:44:45,5,3,2,2,1,3,2,2,Charlerson,15 - 18,2,3,1,Redes
22/08/2024 16:44:45,1,4,1,2,4,3,3,2,Alisson,15 - 18,3,2,5,Informática 
22/08/2024 16:45:21,1,2,1,1,1,1,1,1,Charlerson,11 -  14,1,1,5,
22/08/2024 16:46:17,4,2,2,1,1,1,1,3,Charlerson,15 - 18,1,2,1,
22/08/2024 16:47:00,3,1,2,2,1,4,3,4,Alisson,15 - 18,3,1,5,Cloud
22/08/2024 16:48:04,1,1,1,1,1,1,4,1,Alisson,51 - 80,4,4,1,Informática 
22/08/2024 16:51:25,4,3,1,1,4,3,4,4,Charlerson,15 - 18,3,3,3,Programa
22/08/2024 16:52:02,4,3,4,3,1,2,1,4,Charlerson,15 - 18,2,3,4,Programação 